Description,Make ,Processor/Core,Preferred Model,Number Requested, Date Needed,Intended Use,Description of intended use,Shared or Dedicated,Department,Location
Smith 4007,Dell,Precision 7920 or current version Workstation,Workstation,,not specified,Research and Teaching CM-BIM and Geomatics,Smith 4007,Dedicated Reseach and Classroom,BLTE,Smith
Servers for department,Dell,Dell Poweredge two 3rd Generation Intel® Xeon® Scalable processors,Server,,not specified,Teaching Online and in Classroom ,not specified,,BLTE,not specified
,LG / Samsung,Monitors (2) 85 inches,TV,,not specified,in classroom Teaching,Price 115 ,Dedicated Classroom EHS,BLTE,Price
Construction Lab,LG / Samsung,Monitors (2) 85 inches,TV,,not specified,Teaching in Classroom To Show Methods of Construction and procedures.,not specified,Dedicated Classroom CM,BLTE,
,LG / Samsung,,TV,,not specified,Digital Display,not specified,Department need ,BLTE,not specified
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,1,ASAP,Meeting presentation,291A Marteena Hall,Conference ,MATHSTATS,Marteena
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,1,ASAP,Meeting presentation,109 Marteena Hall,Conference ,MATHSTATS,Marteena
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,1,ASAP,Teaching,112 Marteena Hall,Classroom instruction,MATHSTATS,Marteena
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,1,ASAP,Teaching,114 Marteena Hall,Classroom instruction,MATHSTATS,Marteena
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,1,ASAP,Teaching,116 Marteena Hall,Classroom instruction,MATHSTATS,Marteena
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,1,ASAP,Teaching,118 Marteena Hall,Classroom instruction,MATHSTATS,Marteena
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,1,ASAP,Teaching,120 Marteena Hall,Classroom instruction,MATHSTATS,Marteena
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,63,ASAP,Teaching,201 Marteena Hall,Classroom instruction and student active learning,MATHSTATS,Marteena
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,1,ASAP,Teaching,212 Marteena Hall,Classroom instruction,MATHSTATS,Marteena
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,1,ASAP,Teaching,214 Marteena Hall,Classroom instruction,MATHSTATS,Marteena
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,16,ASAP,Teaching,216 Marteena Hall,Classroom instruction and student active learning,MATHSTATS,Marteena
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,1,ASAP,Teaching,220 Marteena Hall,Classroom instruction,MATHSTATS,Marteena
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,1,ASAP,Teaching,222 Marteena Hall,Classroom instruction,MATHSTATS,Marteena
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,27,ASAP,Teaching,233 Marteena Hall,Classroom instruction and student active learning,MATHSTATS,Marteena
"Five years out, this program would need a fleet of computers that are equivalent to the current HP computers",Z2 or G5 model,i7 or i9 Processors,G5 model or better,25,5 years out,Research/Teaching Lab computers and podium,not specified,Dedicated,GDT,not specified
,Dr. Mehta software/seats: GameMaker,,,,not specified,Research/Teaching Gaming software,not specified,Dedicated,GDT,not specified
,Dr. Cobb software/seats: Solidworks and Lumion,,,,not specified,Research/Teaching Compliments rendering and CAD software,,Shared,GDT,not specified
,Faster Graphics Cards ,,MSI Gaming GeForce GTX 1650 Graphics cards,,not specified,Research,faster processing and better graphics,Shared,GDT,not specified
"Circuit Devices and supplies  (resistors, capacitors, inductiors, cables, breadboards, soldering irons,etc.). Quanity for each item varies greatly as well as the type of item.",,,,1,2023,Teaching,"Smith 4008, Price 204, Price 202",Shared,ET,"Smith, Price"
"Digital Multimeter, ",,,,17,2023,Teaching,"Smith 4008, Price 204, Price 202",Dedicated,ET,"Smith, Price"
"DC Power Supply, ",,,,17,2023,Teaching,"Smith 4008, Price 204, Price 202",Dedicated,ET,"Smith, Price"
"PC Desktops, these are shared between the three ET labs",Dell,"i7/ i9 processors, 32 gb ram",,60,2023,Teaching,"Smith 4008, Price 204, Price 202",Shared,ET,"Smith, Price"
Soldering Stations,,,,4,2023,Teaching/Lab Work,"Smith 4008, Price 204, Price 202",Dedicated,ET,"Smith, Price"
Raspberry Pi 4 kits,,,,45,2023,Teaching/Lab Work,"Smith 4008, Price 204, Price 202",Dedicated,ET,"Smith, Price"
High Freq. Oscilloscope,,,,2,2023,Teaching,"Smith 4008, Price 204, Price 202",Shared,ET,"Smith, Price"
DJI Educational Drone,DJI,,,20,2023,Teaching,"Smith 4008, Price 204, Price 202",Shared,ET,"Smith, Price"
"LCR700 is a full-featured, high-performance LCR meter",,,,5,2023,Teaching,"Smith 4008, Price 204, Price 202",Shared,ET,"Smith, Price"
high end FPGA boards,,,,15,2023,Teaching,"Smith 4008, Price 204, Price 202",Shared,ET,"Smith, Price"
PCI-E FPGA boards,,,,5,2023,Teaching,"Smith 4008, Price 204, Price 202",Shared,ET,"Smith, Price"
"HPC Cluster will consist of: 1) 4GPUs, 2) 10 CPUs, 3) Login server, 4) network equipment, 5) rack & power infrastructure, 6) HH storage device, and 7) compilers and application softeare packages ",HPC Cluster,,,Various,not specified,,TBD,,MATHSTATS,not specified
"Advanced Data Analytics Lab will consist of: 1) 4 High-end Lambda GPU Workstations, 2) 8 Low-end Lambda GPU Workstations,  3) UPS backup power supplies, and 4) network equipment. ",Advanced Data Analytics Lab,,,Various,not specified,,TBD,,MATHSTATS,not specified
"Statistics and Data Science Teaching Lab will consist of 50 IBM power system workstations, and A/V display",Statistics and Data Science Teaching Lab,,,50,not specified,,113 & 115 Marteena Hall,,MATHSTATS,Marteena
Titled 3x3 60'' clarity matrix LCDs system,Advanced Visualization Lab,,,1,not specified,,200 Marteena Hall,,MATHSTATS,Marteena
One Window/Linux server & 6 Dell workstations.,Information Security and Assurance Lab,,,6,not specified,,319 Hines Hall,,MATHSTATS,Hines
"One portable smartboard, 2 Lambda GPU workstations, 2 Apple Studio workstations and 2 Dell workstations",Statistics and Analytics Consulting Center,,,Varies,not specified,,236 Marteena Hall,,MATHSTATS,Marteena
22 All-In-One Dell desktops,Statistical Computing Lab,Dell,AIO,22,not specified,,200 Marteena Hall,,MATHSTATS,Marteena
16 All-In-One Dell desktops,Applied Mathematics Modeling and Visualization Lab,Dell,AIO,,not specified,,122 Marteena Hall,,MATHSTATS,Marteena
"24 Monitors, shortage of monitors for professors, need a refresh, many are outside the 4 year window. ",Various Professor Offices,Dell,,24,2023,,Price 203,,CST,Price
